AUD,BHD,BWP,BRL,BND,BGN,CAD,CLP,CNY,COP,HRK,CZK,DKK,Euro,HKD,HUF,ISK,INR,IDR,IRR,ILS,JPY,KZT,KRW,KWD,LYD,MYR,MUR,MXN,NPR,NZD,NOK,OMR,PKR,PHP,PLN,QAR,RON,RUB,SAR,SGD,ZAR,LKR,SEK,CHF,TWD,THB,TTD,TRY,AED,GBP,VES,date
1.224268,0.377086,9.500474,2.657424,1.325653,1.615636,1.161818,605.537737,6.20249,2383.808414,6.329099,22.89355,6.155431,0.82658,7.755101,261.605705,127.524832,63.164357,12467.2,27027.02703,3.89651,119.308508,182.49867,1094.139466,0.292827,1.314016,3.504597,31.749908,14.741443,100.994799,1.282652,7.459341,0.385,100.525054,44.715691,3.54163,3.640793,3.705447,60.543666,3.752342,1.325653,11.564176,131.209585,7.806565,0.994315,31.666791,33.023505,6.374543,2.334666,3.672944,0.641922,6.349609,01-01-2015
1.232087,0.377012,9.507945,2.694672,1.330548,1.628561,1.173541,613.778651,6.208026,2377.651088,6.387287,23.04509,6.197581,0.83265,7.756583,264.566968,128.219759,63.194985,12503.91892,27173.91303,3.929301,120.20829,182.505065,1105.168178,0.292828,1.314016,3.52486,31.713999,14.810889,101.279976,1.297379,7.568255,0.385012,100.79497,44.809508,3.583032,3.640729,3.751663,59.07099,3.75445,1.330548,11.706408,131.304738,7.895622,1.00081,31.773257,32.948609,6.378566,2.342201,3.673005,0.651057,6.349605,02-01-2015
1.235559,0.377,9.507963,2.6943,1.331085,1.629335,1.17845,613.130005,6.2062,2394,6.389499,23.06345,6.2022,0.833295,7.756535,264.928,128.4,63.245,12515.55,27174,3.93367,120.41,182.75,1107.15,0.2934,1.32,3.5165,31.75,14.83695,101.279976,1.298196,7.593465,0.385,100.849998,44.799999,3.58615,3.6395,3.7272,58.509998,3.754,1.331085,11.705875,131.284766,7.932065,1.0017,31.711,32.955,6.3638,2.3498,3.6729,0.652422,6.30025,03-01-2015
1.235559,0.377,9.507963,2.6943,1.331085,1.629335,1.17845,613.130005,6.2062,2372.5,6.389499,23.06345,6.2022,0.833295,7.756535,264.928,128.4,63.287998,12515.55,27174,3.93367,120.41,182.75,1107.15,0.2934,1.32,3.5165,31.75,14.83695,101.279976,1.298196,7.593465,0.385,100.849998,44.799999,3.58615,3.6395,3.7272,58.509998,3.754,1.331085,11.705875,131.284766,7.932065,1.0017,31.711,32.955,6.3638,2.3498,3.673,0.652422,6.30025,04-01-2015
1.235751,0.377015,9.62112,2.725841,1.335538,1.641058,1.179185,617.185291,6.220298,2432.493354,6.43565,23.233591,6.242817,0.839042,7.75616,266.728368,129.274126,63.435169,12624.92639,27233,3.952974,119.660684,183,1109.255997,0.2928,1.33,3.5535,31.775,14.972264,101.352036,1.298503,7.611676,0.3848,100.800003,45.055,3.603608,3.64115,3.772778,60.154198,3.75385,1.335538,11.715917,131.311142,7.926425,1.00793,32.0255,32.961334,6.3242,2.330314,3.67295,0.656445,6.30025,05-01-2015
1.232338,0.37701,9.625717,2.69977,1.332192,1.638875,1.180663,616.812075,6.213243,2455.163465,6.429915,23.185695,6.235303,0.837911,7.753391,268.101923,129.57,63.34248,12629.41436,27233,3.946525,118.290106,183.001,1099.550324,0.2938,1.33,3.5723,31.83,14.881329,101.791945,1.281369,7.701941,0.384804,100.754,44.92544,3.618757,3.6408,3.768877,62.653754,3.753004,1.332192,11.701877,131.509732,7.886843,1.00637,32.0055,32.85951,6.333,2.32335,3.673,0.65912,6.3015,06-01-2015
1.2423,0.37699,9.618797,2.700744,1.341054,1.654206,1.184781,615.318176,6.21226,2436.940289,6.49053,23.556171,6.293339,0.845782,7.755103,269.443149,130.579938,63.309244,12707.75655,27265.31202,3.978199,119.521904,183.046963,1102.255876,0.294019,1.324023,3.573299,32.1894,14.786884,101.208019,1.29397,7.718623,0.384945,100.751334,45.070396,3.641465,3.640996,3.80352,63.023157,3.75383,1.341054,11.712013,131.444735,7.9737,1.015771,32.011113,32.88347,6.350017,2.325879,3.67316,0.663278,6.322389,07-01-2015
1.230386,0.377,9.606023,2.662299,1.336166,1.656251,1.181321,612.445785,6.21509,2407.207593,6.498236,23.609718,6.299924,0.846833,7.755357,267.740757,130.485894,62.477788,12663.61639,27292.63336,3.956647,119.545481,183.243033,1096.885196,0.294224,1.324062,3.557708,32.199921,14.605189,102.510002,1.27792,7.612725,0.384952,100.723921,44.871752,3.626452,3.64075,3.799915,60.05244,3.754798,1.336166,11.555495,131.525576,8.017273,1.017026,32.000518,32.869527,6.344734,2.299023,3.673001,0.661641,6.347642,08-01-2015
1.220321,0.377069,9.572234,2.639679,1.333912,1.652586,1.185789,614.797224,6.208965,2420.101861,6.485957,23.778358,6.286408,0.845,7.753089,267.820533,129.924793,62.173334,12569.4,27292.57642,3.944098,118.590501,183.049967,1087.124193,0.293659,1.329271,3.560649,32.099915,14.577686,99.815939,1.276608,7.671069,0.38495,100.739935,44.848183,3.607681,3.640931,3.790749,61.853504,3.754918,1.333912,11.488428,131.504717,8.052249,1.014824,31.901,32.853444,6.358371,2.291998,3.673,0.660048,6.349609,09-01-2015
1.219289,0.377,9.572234,2.6296,1.33322,1.65147,1.1867,614.7,6.20495,2417,6.483099,23.7616,6.283075,0.84445,7.753255,267.4785,130.4,62.110016,12588.05,27294,3.93898,118.45,183.350006,1085.8,0.2932,1.325,3.5615,31.975,14.600735,99.815939,1.276406,7.6704,0.3849,100.7,44.950001,3.60352,3.6405,3.788,61.9875,3.75515,1.33322,11.49049,131.504716,8.0575,1.0143,31.917,32.835,6.3248,2.2931,3.6728,0.659631,6.3015,10-01-2015
1.219289,0.377,9.572234,2.6296,1.33322,1.65147,1.1867,613.98999,6.20495,2416.300049,6.483099,23.7616,6.283075,0.84445,7.753255,267.4785,130.4,62.110001,12588.05,27294,3.93898,118.45,183.350006,1085.8,0.2938,1.325,3.5615,31.975,14.600735,99.815939,1.276406,7.6704,0.3849,100.7,44.950001,3.60352,3.640688,3.788,61.9875,3.75515,1.33322,11.49049,131.504716,8.0575,1.0143,31.917,32.835,6.3248,2.2932,3.672,0.659631,6.3015,11-01-2015
1.224959,0.377019,9.541919,2.667707,1.334357,1.653124,1.193107,615.472943,6.201663,2415.968751,6.490387,23.985925,6.288191,0.845279,7.752899,269.211128,130.251003,62.087134,12579.834,27292.55496,3.941005,118.296792,183.233364,1084.155807,0.294198,1.324062,3.573382,32.149324,14.640287,99.576037,1.286375,7.71848,0.384952,100.631516,44.880213,3.616406,3.640605,3.792156,63.048031,3.753474,1.334357,11.524605,131.544677,8.07196,1.015109,31.882495,32.868546,6.363239,2.283364,3.673,0.659324,6.347622,12-01-2015
